,name,ncaa_name,reference_name,logos,conference,conference_2,url_conference,primary,secondary,tertiary,quaternary,background,border
300,Texas Tech Red Raiders,Texas Tech,Texas Tech ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-tech.svg,Big 12,Big 12,https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png,#CC0000,#000000,#ffffff,,#b42b36,#B42B36
301,The Citadel Bulldogs,The Citadel,Citadel,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/citadel.svg,SoCon,SoCon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png,#3975B7,#ffffff,,,#001489,#da291c
302,Toledo Rockets,Toledo,Toledo,https://a2.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fncaa%2F500%2F2649.png,MAC,MAC,https://sportslogohistory.com/wp-content/uploads/2019/02/mid-american_conference_2008-pres.png,#15397F,#005CB9,#FFDA00,#BEC6C3,#142846,#479F66
303,Towson Tigers,Towson,Towson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/towson.svg,CAA,CAA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Colonial_Athletic_Association_2013_logo.png/250px-Colonial_Athletic_Association_2013_logo.png,#000000,#FFCC00,,,#002649,#ffffff
304,Troy Trojans,Troy,Troy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/troy.svg,Sunbelt,Sunbelt,https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png,#6D0017,#B2B3B5,#000000,,#205296,#F3BA44
305,Tulane Green Wave,Tulane,Tulane,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tulane.svg,AAC,AAC,https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png,#006747,#43B02A,#418FDE,#000000,#0a1f3f,#D0392B
306,Tulsa Golden Hurricane,Tulsa,Tulsa,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tulsa.svg,AAC,AAC,https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png,#002D72,#C8102E,#C5B783,#F3D54E,#0a1f3f,#D0392B
307,UAB,UAB,Alabama-Birmingham,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uab.svg,C-USA,C-USA,https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png,#006341,#CC8A00,#000000,#BF0D3E,#003865,#A6192E
308,UC Davis,UC Davis,UC-Davis,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-davis.svg,Big West,Big West,https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png,#002855,#B3A369,,,#091359,#961E45
309,UC Irvine,UC Irvine,UC-Irvine,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-irvine.svg,Big West,Big West,https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png,#0C2340,#FFC72C,,,#091359,#961E45
310,UC Riverside,UC Riverside,UC-Riverside,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-riverside.svg,Big West,Big West,https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png,#2D6CC0,#003066,#F1AB00,#7A6E67,#091359,#961E45
311,UC San Diego,UC San Diego,UC-San Diego,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-san-diego.svg,Big West,Big West,https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png,#182B49,#C69214,006A96,,#091359,#961E45
312,UC Santa Barbara,UC Santa Barbara,UC-Santa Barbara ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-santa-barbara.svg,Big West,Big West,https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png,#004D9F,#FFB814,,,#091359,#961E45
313,UCF,UCF,Central Florida,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ucf.svg,AAC,AAC,https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png,#000000,#B7A369,,,#0a1f3f,#D0392B
314,UCLA,UCLA,UCLA ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ucla.svg,Pac-12,Pac-12,https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png,#2D68C4,#F2A900,#3284BF,#FFE800,#1d4b8c,#000000
315,UConn,UConn,Connecticut ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uconn.svg,Big East,Big East,https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png,#000E2F,#ffffff,,,#163e79,#DA3742
316,UIC,UIC,Illinois-Chicago,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ill-chicago.svg,Horizon,Horizon,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png,#AC1E2D,#041E42,#FACC09,,#de7c00,#000000
317,UIW,UIW,Incarnate Word,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uiw.svg,Southland,Southland,https://www.southland.org/images/main_logo.png,#CB333B,#000000,,,#002649,#ffffff
318,ULM,ULM,ULM,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/la-monroe.svg,Sunbelt,Sunbelt,https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png,#800029,#BD955A,#646469,#DAD86D,#205296,#F3BA44
319,UMass Lowell,UMass Lowell,UMass Lowell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/umass-lowell.svg,America East,Am. East,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png,#003DA5,#C8102E,,,#141b4d,#00b5e2
320,UMBC,UMBC,Maryland-Baltimore County,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/umbc.svg,America East,Am. East,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png,#B18906,#FFC20E,#000000,#ED1C24,#141b4d,#00b5e2
321,Maryland Eastern Shore Hawks,UMES,Maryland-Eastern Shore,https://upload.wikimedia.org/wikipedia/en/6/65/Maryland_Eastern_Shore_Hawks_logo.svg,MEAC,MEAC,https://fbschedules.com/wp-content/uploads/2019/07/meac.png,#822433,#8B8D8E,,,#481a72,#f7b04d
322,UNC Asheville,UNC Asheville,North Carolina-Asheville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-asheville.svg,Big South,Big South,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png,#003DA5,#ffffff,,,#0082cc,#ec7422
323,UNC Greensboro,UNC Greensboro,North Carolina-Greensboro ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-greensboro.svg,SoCon,SoCon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png,#0F2044,#FFB71B,,,#001489,#da291c
324,UNC Wilmington Seahawks,UNCW,North Carolina-Wilmington,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-wilmington.svg,CAA,CAA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Colonial_Athletic_Association_2013_logo.png/250px-Colonial_Athletic_Association_2013_logo.png,#006666,#003366,#FFD600,,#002649,#ffffff
325,UNI,UNI,Northern Iowa,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uni.svg,MVC,MVC,https://sportslogohistory.com/wp-content/uploads/2018/03/missouri_valley_conference_logo.png,#4B116F,#FFCC00,,,#e51636,#18468b
326,UNLV,UNLV,Nevada-Las Vegas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/unlv.svg,Mountain West,MWC,https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png,#B10202,#666666,#000000,,#4a317a,#AFAFAF
